accident_id,prediction
372234,0
332946,0
596385,0
493689,0
420550,0
387950,0
597147,0
425105,0
449455,0
561663,0
390433,0
362091,0
387050,0
427108,0
556942,0
380380,0
481792,0
593830,1
500739,0
442834,0
524007,0
421171,0
453413,0
373314,0
322565,0
453007,0
458750,0
378589,0
329451,0
388105,0
548083,0
493651,0
435131,0
472897,0
510304,0
429618,0
376146,0
542552,0
518002,0
498354,0
347202,0
493864,0
318536,0
396844,0
489337,0
444583,0
314558,0
428752,0
459200,0
588849,0
553951,0
335629,0
311944,0
399362,0
321836,0
431249,0
549202,0
427463,0
518182,0
330790,0
358840,0
467844,0
492946,0
434089,0
381924,0
448766,0
542373,0
502831,1
492666,0
370528,0
306863,0
378471,0
412382,0
304895,0
531531,0
367411,0
568874,0
567759,0
337048,0
572226,1
477041,0
363684,1
559619,0
423451,0
335576,0
499628,0
497317,0
524075,1
455595,0
508631,1
495846,0
575675,0
347382,0
375760,0
461977,0
430815,0
314124,0
599596,0
474739,0
427679,0
401959,0
325255,0
500452,0
308653,0
588628,0
443171,0
314589,0
581160,0
443133,0
360031,0
580030,0
560520,0
422523,0
442544,0
332047,0
523857,0
568782,0
439743,0
524940,0
314743,0
545198,0
419362,0
439604,0
301720,0
404790,0
339291,0
344354,0
487204,0
303456,0
544566,0
498916,0
467222,0
533891,0
411860,0
442041,0
546028,0
433414,0
355384,0
303730,0
365620,0
547281,0
300439,0
387624,0
595295,0
591082,0
528717,0
460669,0
339661,0
393732,0
418179,0
322742,0
568358,0
409862,0
588934,0
575255,0
596318,0
523166,0
507182,1
512348,0
508778,1
437282,0
502094,0
594973,0
523780,0
526376,0
330078,0
349735,0
408843,0
493022,0
505605,1
428722,0
307600,1
454285,0
429796,0
339170,0
566021,0
312794,0
529317,0
424571,0
480668,0
473695,0
362277,0
573903,0
399660,0
308382,0
539303,0
578867,0
468344,0
407957,0
549366,0
502303,0
364221,0
340026,0
557542,0
425041,0
305297,0
583050,0
572056,0
580052,0
436547,0
404988,0
574999,0
306688,0
496913,0
311095,0
492746,0
406517,0
391357,0
308226,0
563156,0
510081,0
330442,0
519101,0
526547,0
512107,1
542121,0
545470,0
492207,0
443399,0
548085,0
428716,0
465627,0
540816,0
565758,0
333340,0
422562,0
479696,0
363311,0
372443,0
304876,0
331935,0
560086,0
564855,0
466819,0
501645,0
504127,0
435163,0
442023,0
553034,0
328543,0
483917,0
555212,0
302583,0
335477,0
504614,0
452004,0
328267,0
360522,0
460932,0
341547,0
392160,0
324343,0
321334,1
456799,0
579191,0
573377,0
538666,0
341360,0
531908,0
523875,0
425322,0
432808,0
589778,0
534090,0
340025,0
596941,0
338890,0
408500,0
463416,0
308097,0
549452,0
324207,0
465922,0
411059,0
533520,0
582305,0
302968,0
542517,0
498977,0
462329,0
555152,0
440956,0
445900,0
400824,0
350306,1
383023,0
404685,0
317620,0
351116,0
496729,0
513785,0
592043,0
597055,0
440050,0
341581,0
437814,0
555550,0
377685,0
378550,0
440895,0
320030,0
418140,0
352318,0
578730,0
432643,0
476906,0
521333,0
522394,0
338244,0
534635,1
414204,1
365506,0
356413,0
506628,0
510119,0
584335,0
315973,0
513199,0
479283,0
357872,0
358760,0
523967,0
458236,0
528038,0
496488,0
374151,0
547182,0
465820,0
465546,0
512306,0
367356,0
452792,0
593135,0
488861,0
524567,0
364516,0
582617,0
398470,0
390304,0
485127,0
336817,0
525152,1
380837,0
495376,0
572519,1
514260,0
548674,0
444869,0
525665,0
569906,0
303663,0
511645,0
334781,0
585499,0
484216,0
501783,0
408101,0
324620,0
324329,0
539208,0
493089,0
571683,0
444930,0
371789,0
427827,0
379263,0
567964,0
538016,0
475671,0
461919,0
440394,0
520619,0
521309,1
577168,0
448921,0
448367,1
310984,0
580103,0
303824,0
391130,0
502441,0
550623,0
426781,0
365565,0
414965,0
498433,0
375724,0
509375,0
344402,0
435490,0
491830,0
323740,0
528005,0
531190,0
534547,0
539007,0
466223,0
401333,0
572424,0
313050,0
447150,0
408559,0
358175,0
503463,0
507855,0
512575,0
449614,0
316094,0
336847,0
580781,0
546947,0
382301,0
390301,0
500708,0
403443,0
409461,0
570655,0
518960,0
558894,0
574986,0
598301,0
525661,0
355667,0
515481,0
583367,0
557129,0
480260,0
533350,0
482783,0
439370,0
327029,0
436546,0
332290,0
596928,0
369514,0
383461,0
523279,0
587903,0
406434,0
581802,0
558329,1
482522,0
384494,0
541321,0
486582,0
557878,0
453085,0
362438,0
530572,0
584998,0
404286,0
595582,0
473190,0
584715,0
373313,0
580696,0
398912,1
409987,0
593908,0
461221,0
402793,0
560203,0
407272,0
535198,0
532035,0
563656,0
437915,0
360139,0
434369,0
520529,0
423422,1
313085,1
459075,0
500786,0
578601,0
395699,0
478208,0
365023,0
393659,0
547402,0
512655,0
466257,0
482296,0
425870,0
331200,0
525365,0
518605,0
342756,0
317783,0
391625,0
500397,0
594330,0
424773,0
458796,0
390134,0
404657,0
504288,0
367916,0
499183,0
426783,0
406554,1
543103,0
419509,0
491880,0
548105,0
360920,0
573604,0
359899,1
399550,0
407213,0
478578,0
307771,0
390624,0
461796,0
547544,0
405519,0
517816,0
584750,0
541517,0
413465,0
577522,0
503002,0
566395,0
471145,0
316977,0
332689,0
366927,0
462740,0
398259,0
457094,0
426709,0
448178,0
464629,0
322415,0
391633,0
373085,0
327181,0
446020,0
479449,0
549867,0
343120,0
398107,0
581077,0
410785,0
503147,0
521476,0
516117,0
470957,0
509412,0
341757,0
597296,0
437631,0
428321,0
540845,0
513113,0
316123,0
546703,0
565413,0
419875,0
533627,0
383724,0
440150,0
495568,0
315275,0
314247,0
595840,0
570505,0
307560,0
591142,0
383726,0
463723,0
478501,0
349945,0
581164,0
516193,0
402233,0
362142,0
463157,0
312006,0
553363,0
511615,0
577945,0
494626,0
396763,0
589920,0
486574,0
516508,0
542584,0
479393,0
571049,0
462317,0
478671,0
460542,0
405426,0
355186,0
462585,0
508138,0
379334,0
313902,0
347257,0
400697,0
300807,0
470571,0
426868,0
414013,0
570287,0
364022,0
513395,0
404125,0
439856,0
498861,0
324443,0
412619,0
559370,0
345137,0
330237,0
383674,0
423853,0
349090,0
422427,0
308940,0
456566,0
567238,1
486498,0
566752,0
500886,0
589641,0
349651,0
561767,0
496470,0
386764,0
524092,0
428558,0
355904,0
345811,0
340570,0
354442,0
450993,0
338949,0
557427,0
498960,0
371982,1
451965,0
355138,0
562242,0
345356,0
598224,0
503035,0
498785,0
352465,0
446842,0
485184,0
368726,0
434221,0
439430,0
418920,0
549882,0
318258,0
342062,0
495937,0
405819,0
489027,0
302786,0
574417,0
363913,0
303620,0
421086,0
431900,0
520955,0
362367,0
493566,0
453443,0
585185,0
389340,0
307232,0
455289,0
472458,0
356734,0
342121,0
491469,0
462456,0
584863,0
388443,0
445196,0
591553,0
539179,0
577892,0
561111,0
393129,0
379653,0
307363,0
355959,0
472731,0
459329,0
556177,0
377100,0
305681,0
531669,0
360388,0
578143,0
380599,0
419487,0
564012,0
567788,0
506487,0
563536,0
480947,0
356702,0
388969,0
351357,0
527092,0
386402,0
539508,0
463802,0
456423,0
313854,0
538234,0
585289,0
485288,0
538130,0
550389,0
548028,0
429505,0
459635,0
373097,0
558715,0
502667,0
441213,0
589934,0
435434,0
307470,0
457667,0
462724,0
406288,0
387860,0
331178,0
438726,0
489956,0
440989,0
520337,0
508175,0
505932,0
573399,0
585506,0
427180,0
471964,0
565209,0
499022,0
325564,0
360394,0
418083,0
402500,0
450913,0
452241,0
397653,0
385579,0
599528,0
478379,0
418703,0
433031,0
461971,0
425770,0
574674,0
494347,0
340693,0
594862,0
409081,0
421427,0
344390,0
401055,0
450787,0
558141,0
348636,0
420687,0
551322,0
552274,1
563664,0
348301,0
421388,0
553415,0
465496,0
551798,0
499277,0
488667,0
545234,0
389407,0
406286,0
415201,0
375709,0
556216,0
544167,0
435931,0
577850,0
430821,0
575015,0
338124,0
562746,0
500943,0
598124,0
436490,0
446556,0
388719,0
305260,0
538165,0
482694,0
556484,0
482894,0
401884,0
509813,0
326269,0
321439,0
328241,1
517590,0
449253,0
523039,0
502344,0
412191,0
552475,0
381220,0
305941,0
545878,0
429301,0
397238,0
424078,0
354022,0
392150,0
398017,0
406902,0
582069,0
495541,0
326227,0
367876,0
321717,0
432977,0
557190,0
401276,0
342905,0
592602,0
514425,0
305731,0
498712,0
532597,0
490519,0
369887,0
365573,0
505318,0
310532,0
473590,0
443411,0
504009,0
448267,0
338680,0
311205,1
585483,0
461997,0
532665,0
420774,0
550722,0
317874,0
537138,0
528980,0
466624,0
519163,0
580198,0
517093,0
506718,0
467469,0
431980,0
508920,0
479126,0
342935,0
477314,0
551661,0
306130,1
431226,0
448944,0
379432,0
429070,0
539623,0
447076,0
575797,0
518230,0
303478,0
431727,0
444732,0
461231,0
305215,0
318890,0
592806,1
343576,0
335308,0
441006,0
479433,0
401563,0
445622,0
505274,0
316477,0
350242,0
473725,0
506624,0
375360,1
490110,0
341131,0
559396,0
338385,0
502287,0
500477,0
540403,0
383514,0
509452,0
459330,0
371664,0
521501,0
581152,0
535566,1
379321,0
353882,0
407806,0
316570,0
382749,0
520475,0
434594,0
444674,0
561488,0
557058,0
439361,0
322490,0
447144,1
575040,1
412713,0
302185,0
519004,0
312800,0
316096,0
569558,0
580789,0
421303,0
452255,0
496372,0
418352,0
386716,0
399053,1
